lang,key,traffic,iphone_diff,iphone_apps,ipad_diff,ipad_apps,req_time,created
US,simulation madness,0.0,3.8,129,3.1,107,2.9740519523620605,2014-12-14
US,simulation action,0.0,5.6,929,3.9,476,3.2526888847351074,2014-12-14
US,simulation legendary,0.0,0.8,7,0.8,3,1.9885060787200928,2014-12-14
US,simulation tournament,0.0,3.8,37,4.2,29,4.1987669467926025,2014-12-14
US,simulation puzzle,0.0,4.4,351,5.1,225,3.433577060699463,2014-12-14
US,simulation escape,0.0,4.3,136,3.7,117,3.016969919204712,2014-12-14
US,simulation mysterious,0.0,0.0,0,0.0,0,1.4298911094665527,2014-12-14
US,simulation roleplaying,0.0,4.3,106,3.9,24,3.9978630542755127,2014-12-14
US,simulation reaction,0.0,2.6,21,1.8,9,3.1734111309051514,2014-12-14
US,simulation multiplayer,0.0,5.8,178,5.1,121,3.6864540576934814,2014-12-14
US,simulation physics,0.0,3.6,377,3.5,327,3.173252820968628,2014-12-14
US,escape game,3.6,6.3,7541,6.2,6908,2.355318069458008,2014-12-14
US,escape play,0.0,4.3,392,4.1,239,2.971952199935913,2014-12-14
US,escape awesome,0.0,3.3,135,3.2,131,3.479130983352661,2014-12-14
US,escape madness,0.0,1.7,64,1.2,62,3.6802549362182617,2014-12-14
US,escape action,3.4,4.2,662,3.7,510,3.288796901702881,2014-12-14
US,escape legendary,0.0,2.9,135,2.9,137,3.687452793121338,2014-12-14
US,escape tournament,0.0,0.0,5,0.0,5,2.759714126586914,2014-12-14
US,escape puzzle,1.4,6.4,1246,6.4,1488,3.058363914489746,2014-12-14
US,escape simulation,0.0,4.3,136,3.7,117,3.32737398147583,2014-12-14
US,escape mysterious,0.0,2.7,18,1.8,30,4.458831071853638,2014-12-14
US,escape roleplaying,0.0,2.5,36,2.3,9,3.5936920642852783,2014-12-14
US,escape reaction,0.0,3.5,48,2.1,43,4.11842679977417,2014-12-14
US,escape multiplayer,0.0,2.5,61,2.9,57,3.560784101486206,2014-12-14
US,escape physics,0.0,2.8,175,2.5,145,4.146843194961548,2014-12-14
US,mysterious game,1.0,6.0,2264,6.0,2649,3.001290798187256,2014-12-14
US,mysterious play,0.0,2.9,29,2.5,14,3.2357990741729736,2014-12-14
US,mysterious awesome,0.0,0.6,4,0.0,3,1.7558958530426025,2014-12-14
US,mysterious madness,0.0,0.0,0,0.0,0,0.8638160228729248,2014-12-14
US,mysterious action,0.0,4.0,9,0.0,4,4.913377046585083,2014-12-14
US,mysterious legendary,0.0,0.0,2,0.0,2,1.842020034790039,2014-12-14
US,mysterious tournament,0.0,2.3,66,1.9,52,6.143089056015015,2014-12-14
US,mysterious puzzle,0.0,2.3,55,3.2,70,4.023633003234863,2014-12-14
US,mysterious simulation,0.0,0.0,0,0.0,0,1.405945062637329,2014-12-14
US,mysterious escape,0.0,2.7,18,1.8,30,4.196776866912842,2014-12-14
US,mysterious roleplaying,0.0,4.2,8,0.0,1,2.458534002304077,2014-12-14
US,mysterious reaction,0.0,0.1,1,0.1,1,2.1489620208740234,2014-12-14
US,mysterious multiplayer,0.0,0.0,1,0.0,1,2.563169002532959,2014-12-14
US,mysterious physics,0.0,0.0,2,0.0,2,1.42793607711792,2014-12-14
US,roleplaying game,2.2,6.7,2469,5.3,427,2.971153974533081,2014-12-14
US,roleplaying play,0.0,5.8,2389,4.6,344,2.4114530086517334,2014-12-14
US,roleplaying awesome,0.0,2.4,18,0.0,0,2.403944969177246,2014-12-14
US,roleplaying madness,0.0,0.6,4,0.0,0,1.8103289604187012,2014-12-14
US,roleplaying action,0.0,6.1,2395,4.7,1614,2.949387788772583,2014-12-14
US,roleplaying legendary,0.0,2.8,13,0.0,0,3.0222339630126953,2014-12-14
US,roleplaying tournament,0.0,1.3,4,0.0,0,2.0454819202423096,2014-12-14
US,roleplaying puzzle,0.0,3.7,155,2.5,27,3.8125908374786377,2014-12-14
US,roleplaying simulation,0.0,4.3,106,3.9,24,4.586337089538574,2014-12-14
US,roleplaying escape,0.0,2.5,36,2.3,9,2.968822956085205,2014-12-14
